rep,n,mode,bytes,pages,mean_s,sd_s,ns_per_line,resident,clean_before,erases_during,dirty_before
1,4096,nor_cold,67108864,16384,0.513725,0.000843,979.9,16384,65536,0,0
1,4096,nor_cold,67108864,16384,0.513834,0.000938,980.1,16384,65536,0,0
1,4096,nor_warm,67108864,16384,0.513777,0.000059,980.0,16384,65536,0,0
1,5793,nor_cold,134235396,32772,1.033153,0.000971,985.2,32773,65536,0,0
1,5793,nor_warm,134235396,32772,1.033160,0.000109,985.2,32773,65536,0,0
1,7094,nor_cold,201299344,49145,1.550539,0.001121,985.9,49146,65536,0,0
1,7094,nor_warm,201299344,49145,1.550127,0.000116,985.7,49146,65536,0,0
1,8192,nor_cold,268435456,65536,1.866587,0.000648,890.1,57336,65536,0,0
1,7094,dram_cold,201299344,49145,0.338891,0.000083,215.5,0,0,0,0
1,7094,dram_warm,201299344,49145,0.338862,0.000054,215.5,0,0,0,0
1,7094,comp,201299344,49145,0.213152,0.000028,135.5,0,0,0,0
1,7094,comp,201299344,49145,0.213234,0.000048,135.6,0,0,0,0
1,8192,nor_cold,268435456,65536,1.866575,0.000674,890.1,57334,65536,0,0
1,8192,nor_warm,268435456,65536,2.065856,0.000239,985.1,65407,65536,0,0
1,11585,nor_cold,536848900,131066,2.318808,0.000485,552.9,57336,65536,0,0
1,8192,nor_cold,268435456,65536,2.068887,0.001117,986.5,65526,65536,0,0
1,11585,nor_cold,536848900,131066,2.514382,0.000519,599.5,65270,65536,0,0
1,11585,nor_warm,536848900,131066,2.520426,0.000152,600.9,65528,65536,0,0
1,16384,nor_cold,1073741824,262144,3.429155,0.000213,408.8,65528,65536,0,0
1,16384,nor_warm,1073741824,262144,3.429485,0.000165,408.8,65528,65536,0,0
